1   0.00000   0.10000
2   0.02000   0.10000
3   0.04000   0.10000
4   0.06000   0.10000 
5   0.00000   0.08000
6   0.02000   0.08000
7   0.04000   0.08000
8   0.06000   0.08000
9   0.08000   0.08000
10  0.10000   0.08000
11  0.00000   0.06000
12  0.02000   0.06000
13  0.04000   0.06000
14  0.06000   0.06000
15  0.08000   0.06000
16  0.10000   0.06000
17  0.00000   0.04000
18  0.02000   0.04000
19  0.04000   0.04000
20  0.06000   0.04000
21  0.08000   0.04000
22  0.10000   0.04000
23  0.00000   0.02000
24  0.02000   0.02000
25  0.04000   0.02000
26  0.06000   0.02000
27  0.08000   0.02000
28  0.10000   0.02000
29  0.00000   0.00000
30  0.02000   0.00000
31  0.04000   0.00000
32  0.06000   0.00000
33  0.08000   0.00000
34  0.10000   0.00000

1   5   6   0
1   2   6   0
2   6   7   0
2   3   7   0
3   7   8   0
3   4   8   0
5   11  12  0
5   6   12  0
6   12  13  0
6   7   13  0
7   13  14  0
7   8   14  0
8   14  15  0
8   9   15  0
9   15  16  0
9   10  16  0
11  17  18  0
11  12  18  0
12  18  19  0
12  13  19  0
13  19  20  0
13  14  20  0
14  20  21  0
14  15  21  0
15  21  22  0
15  16  22  0
17  23  24  0
17  18  24  0
18  24  25  0
18  19  25  0
19  25  26  0
19  20  26  0
20  26  27  0
20  21  27  0
21  27  28  0
21  22  28  0
23  29  30  0
23  24  30  0
24  30  31  0
24  25  31  0
25  31  32  0
25  26  32  0
26  32  33  0
26  27  33  0
27  33  34  0
27  28  34  0

1   0
4   15
5   0
8   15
9   15
10  15
11  0
17  0
23  0
29  0
30  0
31  0
32  0
33  0
34  0
